hardware_family,hardware_size,family,size,instance_index,method,projection_regime,projection_topology_family,instance_source,problem_seed,instance_manifest,comparison_family,comparison_mode,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_fea,sqa_gap,optimum_probability,cop,true_optimum_objective,best_feasible_objective,best_feasible_gap,objective_gap,num_feasible_reads,feasible_read_fraction,sqa_num_reads,sqa_num_sweeps,sqa_num_sweeps_per_beta,sqa_chain_strength_fraction,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_total_schedule_time,sqa_anneal_schedule,mean_sqa_energy_gap,sqa_optimum_rate,physical_qubits,mean_chain_length,max_chain_length,mean_chain_break_fraction,broken_read_rate,effective_chain_strength,embedded_chain_to_problem_ratio,qubo_normalization_scale,normalization_regime,per_constraint_standardization,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projection_target_lambda1_shape,projection_target_lambda2_shape,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_lambda0,up_lambda1,up_lambda2
chimera,16,mdkp,5,0,unbalanced,unbalanced,,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,0.256,0.068,0.0,0.008,0.256,-65757.0,-65757.0,0.0,0.0,68,0.068,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.32948426872916237,0.008,8,1.6,2,0.286,0.854,0.04267946072591841,0.17071784290367364,38002.151855172815,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,0,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,1.152,0.22,0.0,0.036,1.152,-65757.0,-65757.0,0.0,0.0,220,0.22,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3582867776261635,0.036,5,1.0,1,0.0,0.0,0.0,,37390.01788786872,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,0,unbalanced,unbalanced,,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,0.8,0.159,0.0,0.025,0.8,-65757.0,-65757.0,0.0,0.0,159,0.159,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.34279928874779386,0.025,6,1.2,2,0.09119999999999999,0.456,0.04267946072591841,0.17071784290367364,38002.151855172815,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,0,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,1.152,0.235,0.0,0.036,1.152,-65757.0,-65757.0,0.0,0.0,235,0.235,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.29577150430388605,0.036,5,1.0,1,0.0,0.0,0.0,,37513.49296087213,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
zephyr,16,mdkp,5,0,unbalanced,unbalanced,,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,0.992,0.169,0.0,0.031,0.992,-65757.0,-65757.0,0.0,0.0,169,0.169,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.26983119577882814,0.031,6,1.2,2,0.0964,0.482,0.04267946072591841,0.17071784290367364,38002.151855172815,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,0,projected_topology_unb_pen,projected_topology,zephyr,seed_manifest,12326530760163395530,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-65757.0,cplex_cache,min,1e-09,10,1.6,0.244,0.0,0.05,1.6,-65757.0,-65757.0,0.0,0.0,244,0.244,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3223104465347702,0.05,5,1.0,1,0.0,0.0,0.0,,37559.581824114844,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,
chimera,16,mdkp,5,1,unbalanced,unbalanced,,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,0.64,0.104,0.0,0.02,0.64,-42940.0,-42940.0,0.0,0.0,104,0.104,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.37186257210418827,0.02,8,1.6,2,0.284,0.859,0.050610999154228016,0.20244399661691206,19016.089656271004,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,1,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,1.6,0.253,0.0,0.05,1.6,-42940.0,-42940.0,0.0,0.0,253,0.253,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3654776128470464,0.05,5,1.0,1,0.0,0.0,0.0,,18588.582434688014,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,1,unbalanced,unbalanced,,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,1.12,0.207,0.0,0.035,1.12,-42940.0,-42940.0,0.0,0.0,207,0.207,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.38963456480112685,0.035,6,1.2,2,0.09359999999999999,0.468,0.050610999154228016,0.20244399661691206,19016.089656271004,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,1,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,2.048,0.27,0.0,0.064,2.048,-42940.0,-42940.0,0.0,0.0,270,0.27,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3509310148527661,0.064,5,1.0,1,0.0,0.0,0.0,,18511.068127019775,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
zephyr,16,mdkp,5,1,unbalanced,unbalanced,,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,1.952,0.246,0.0,0.061,1.952,-42940.0,-42940.0,0.0,0.0,246,0.246,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3443082804139639,0.061,6,1.2,2,0.09240000000000001,0.462,0.050610999154228016,0.20244399661691206,19016.089656271004,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,1,projected_topology_unb_pen,projected_topology,zephyr,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-42940.0,cplex_cache,min,1e-09,10,1.536,0.257,0.0,0.048,1.536,-42940.0,-42940.0,0.0,0.0,257,0.257,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3938035880307152,0.048,5,1.0,1,0.0,0.0,0.0,,18500.92702261868,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,
